Generation, Average-F2, Max-F2, Average-Acc, Min-Acc 
0, 0.01352, 0.79340, 38.73, 31.04
1, 0.01269, 0.57583, 38.55, 24.87
2, 0.03302, 0.55156, 38.19, 24.96
3, 0.03956, 0.80000, 38.10, 25.30
4, 0.03507, 0.78839, 38.49, 25.39
5, 0.01825, 0.50831, 38.40, 25.30
6, 0.03188, 0.80112, 38.36, 26.26
7, 0.02114, 0.76242, 38.33, 23.57
8, 0.00529, 0.28861, 38.67, 31.57
9, 0.01288, 0.80768, 38.56, 23.22
10, 0.01298, 0.41605, 38.49, 28.78
11, 0.00057, 0.03059, 38.79, 38.09
12, 0.00562, 0.35969, 38.66, 29.57
13, 0.01296, 0.82930, 38.62, 27.65
14, 0.01285, 0.82240, 38.59, 25.91
15, 0.00048, 0.03059, 38.79, 38.09
16, 0.00035, 0.01665, 38.80, 38.78
17, 0.00009, 0.00560, 38.79, 38.61
18, 0.00176, 0.07642, 38.77, 37.74
19, 0.01565, 0.55873, 38.40, 25.65
20, 0.01810, 0.50756, 38.37, 25.65
21, 0.01734, 0.57838, 38.38, 25.22
22, 0.00837, 0.53563, 38.58, 24.61
23, 0.01684, 0.54837, 38.37, 25.39
24, 0.03514, 0.80441, 38.44, 25.30
25, 0.01027, 0.54301, 38.55, 25.30
26, 0.02918, 0.62443, 38.17, 25.39
27, 0.02464, 0.55714, 38.15, 25.39
28, 0.02270, 0.54139, 38.24, 25.22
29, 0.04718, 0.82665, 37.92, 24.96
30, 0.03866, 0.54113, 37.71, 24.87
31, 0.05888, 0.56214, 37.33, 25.30
0, 0.01529, 0.73915, 38.61, 26.17
1, 0.04176, 0.73134, 38.13, 25.13
2, 0.03507, 0.78400, 38.55, 24.96
3, 0.02559, 0.59280, 38.39, 25.48
4, 0.02414, 0.77457, 38.95, 28.96
5, 0.03429, 0.78328, 38.08, 23.39
6, 0.02047, 0.69348, 38.42, 27.57
7, 0.04406, 0.76580, 38.48, 24.96
8, 0.04297, 0.80733, 38.17, 26.35
9, 0.06981, 0.74539, 37.27, 24.43
10, 0.04905, 0.67904, 37.64, 23.57
11, 0.07641, 0.79431, 37.18, 23.74
12, 0.07312, 0.73325, 37.39, 24.87
13, 0.05292, 0.71367, 37.66, 24.43
14, 0.03585, 0.77877, 38.07, 24.09
15, 0.03177, 0.77989, 38.33, 23.74
16, 0.01251, 0.78958, 38.73, 29.83
17, 0.00723, 0.45977, 38.61, 25.65
18, 0.00770, 0.49282, 38.59, 24.61
19, 0.00000, 0.00000, 38.80, 38.78
20, 0.00000, 0.00000, 38.79, 38.78
21, 0.01061, 0.67929, 38.59, 25.83
22, 0.01255, 0.80309, 38.76, 36.52
23, 0.02440, 0.81466, 38.46, 27.57
24, 0.00000, 0.00000, 38.81, 38.78
25, 0.01355, 0.80733, 38.91, 38.78
26, 0.00900, 0.57574, 38.59, 25.48
27, 0.01156, 0.73959, 38.53, 21.91
28, 0.01669, 0.80274, 38.82, 31.39
29, 0.01715, 0.71803, 38.43, 25.65
30, 0.02051, 0.80692, 38.40, 25.57
31, 0.00000, 0.00000, 38.81, 38.78
0, 0.00868, 0.55529, 38.67, 26.17
1, 0.01371, 0.56291, 38.57, 26.09
2, 0.05720, 0.75340, 37.89, 23.91
3, 0.03644, 0.77945, 38.61, 28.43
4, 0.04761, 0.79216, 38.46, 25.22
5, 0.05136, 0.66300, 37.58, 23.39
6, 0.05705, 0.78438, 38.09, 24.61
7, 0.06238, 0.80296, 37.73, 23.83
8, 0.06771, 0.69057, 37.22, 25.48
9, 0.06276, 0.77296, 37.80, 23.57
10, 0.04618, 0.74937, 37.92, 25.48
11, 0.09733, 0.80453, 37.03, 25.04
12, 0.07632, 0.84593, 37.00, 24.43
13, 0.06552, 0.83960, 37.15, 21.91
14, 0.09775, 0.79496, 37.02, 24.52
15, 0.15383, 0.82461, 35.54, 22.61
16, 0.16519, 0.81676, 35.21, 20.35
17, 0.15629, 0.78059, 35.38, 22.43
18, 0.16833, 0.77383, 35.41, 22.87
19, 0.20107, 0.79910, 34.67, 23.13
20, 0.22035, 0.83432, 34.21, 20.35
21, 0.21506, 0.81218, 34.16, 22.43
22, 0.28896, 0.82195, 32.78, 20.96
23, 0.34153, 0.79378, 31.42, 21.91
24, 0.28817, 0.77976, 33.03, 21.39
25, 0.35422, 0.79433, 31.85, 21.83
26, 0.32892, 0.79692, 32.17, 22.35
27, 0.38962, 0.80577, 30.90, 22.61
28, 0.37829, 0.79616, 31.27, 21.48
29, 0.33968, 0.81621, 31.82, 24.00
30, 0.35215, 0.78578, 30.97, 20.78
31, 0.40897, 0.82133, 29.93, 21.48
0, 0.00354, 0.22086, 38.81, 32.61
1, 0.00061, 0.02508, 38.81, 38.09
2, 0.03477, 0.71523, 37.96, 24.00
3, 0.01216, 0.74790, 38.66, 28.70
4, 0.02689, 0.61782, 38.20, 25.57
5, 0.05866, 0.82398, 37.54, 25.13
6, 0.00985, 0.56084, 38.57, 25.57
7, 0.01008, 0.55345, 38.59, 26.78
8, 0.01101, 0.52759, 38.57, 25.39
9, 0.01870, 0.78541, 38.81, 27.91
10, 0.01566, 0.67909, 38.48, 26.35
11, 0.02994, 0.77646, 38.24, 25.13
12, 0.03134, 0.77727, 38.69, 25.57
13, 0.04018, 0.74344, 38.04, 25.22
14, 0.04298, 0.81804, 38.11, 24.35
15, 0.03659, 0.74491, 38.13, 24.09
16, 0.01346, 0.81772, 38.75, 33.57
17, 0.00000, 0.00000, 38.80, 38.78
18, 0.00824, 0.52747, 38.57, 24.78
19, 0.00000, 0.00000, 38.82, 38.78
20, 0.00000, 0.00000, 38.79, 38.78
21, 0.00000, 0.00000, 38.80, 38.78
22, 0.00493, 0.31555, 38.68, 31.74
23, 0.00000, 0.00000, 38.82, 38.78
24, 0.01917, 0.77323, 38.91, 27.30
25, 0.01997, 0.77668, 38.83, 25.04
26, 0.00789, 0.47690, 38.57, 25.30
27, 0.02180, 0.81943, 38.32, 23.83
28, 0.00790, 0.40102, 38.59, 27.48
29, 0.00000, 0.00000, 38.81, 38.78
0, 0.00726, 0.45341, 38.67, 25.74
1, 0.04170, 0.78218, 38.49, 26.00
2, 0.02463, 0.79526, 38.34, 23.83
3, 0.00716, 0.39683, 38.61, 26.52
4, 0.01401, 0.82179, 38.76, 35.30
5, 0.00113, 0.03330, 38.79, 38.26
6, 0.00122, 0.03891, 38.78, 37.65
7, 0.00487, 0.31153, 38.69, 31.48
8, 0.00779, 0.49831, 38.64, 27.57
9, 0.01969, 0.75345, 38.38, 24.35
10, 0.02855, 0.78698, 38.28, 25.74
11, 0.02813, 0.82875, 38.27, 25.30
12, 0.02922, 0.55163, 38.05, 25.74
13, 0.01510, 0.50220, 38.41, 25.48
14, 0.02526, 0.51400, 38.22, 26.70
15, 0.03810, 0.61078, 37.81, 24.78
16, 0.03852, 0.56501, 37.86, 26.00
17, 0.03758, 0.54067, 37.87, 25.48
18, 0.03871, 0.56448, 37.87, 26.00
19, 0.03410, 0.55582, 37.97, 26.00
20, 0.03103, 0.54606, 38.03, 26.17
21, 0.03649, 0.54363, 37.87, 26.35
22, 0.03098, 0.56626, 38.06, 26.52
23, 0.01501, 0.55714, 38.42, 26.17
24, 0.02536, 0.52987, 38.16, 25.91
25, 0.03924, 0.51607, 37.83, 25.39
26, 0.03150, 0.57801, 38.04, 25.57
27, 0.03193, 0.61111, 38.01, 25.57
28, 0.03397, 0.54306, 38.01, 25.39
29, 0.03163, 0.53699, 38.02, 26.35
30, 0.05218, 0.75707, 37.67, 25.13
31, 0.05596, 0.69166, 37.53, 24.61
0, 0.02038, 0.77906, 38.93, 26.09
1, 0.02751, 0.70496, 38.28, 25.57
2, 0.01219, 0.38872, 38.52, 28.17
3, 0.04134, 0.78301, 38.52, 24.52
4, 0.02233, 0.52797, 38.25, 25.91
5, 0.03350, 0.66605, 37.98, 22.52
6, 0.02678, 0.71779, 38.14, 22.70
7, 0.01561, 0.50608, 38.40, 25.30
8, 0.02301, 0.55026, 38.22, 26.00
9, 0.03244, 0.76793, 38.08, 24.17
10, 0.04413, 0.81540, 38.07, 24.70
11, 0.02470, 0.59436, 38.22, 26.96
12, 0.01866, 0.61111, 38.35, 25.57
13, 0.04551, 0.74882, 37.77, 25.13
14, 0.01938, 0.54515, 38.32, 25.22
15, 0.05294, 0.79162, 37.97, 23.74
16, 0.05249, 0.68658, 37.60, 25.13
17, 0.09920, 0.77688, 36.68, 23.74
18, 0.08901, 0.79219, 37.17, 23.65
19, 0.05243, 0.55660, 37.57, 25.48
0, 0.01013, 0.64020, 38.65, 24.61
1, 0.01134, 0.60976, 38.56, 23.83
2, 0.02958, 0.70596, 38.24, 24.35
3, 0.01082, 0.44907, 38.52, 25.83
4, 0.02270, 0.72977, 38.40, 22.87
5, 0.02313, 0.84372, 38.36, 22.26
6, 0.02026, 0.73497, 38.35, 23.57
7, 0.02332, 0.79382, 38.36, 20.09
8, 0.02370, 0.80400, 38.33, 19.39
9, 0.04692, 0.80614, 38.00, 20.96
10, 0.08197, 0.85825, 37.37, 22.78
11, 0.10441, 0.82502, 36.66, 19.04
12, 0.12349, 0.83194, 36.35, 21.65
13, 0.14840, 0.85321, 36.24, 20.78
14, 0.19892, 0.83881, 36.46, 23.65
15, 0.25114, 0.80383, 35.25, 22.61
16, 0.32893, 0.83122, 33.91, 21.22
17, 0.38857, 0.85419, 32.75, 18.87
18, 0.46322, 0.86753, 32.07, 21.74
19, 0.55237, 0.84316, 29.80, 18.70
20, 0.51592, 0.84742, 30.83, 21.57
21, 0.51807, 0.83932, 29.56, 20.26
22, 0.47258, 0.86256, 31.43, 21.57
23, 0.49193, 0.81376, 30.37, 20.87
24, 0.49967, 0.85320, 29.80, 20.61
25, 0.53406, 0.84204, 29.27, 21.65
26, 0.47495, 0.81737, 29.85, 21.13
27, 0.47932, 0.81098, 29.74, 20.17
28, 0.48158, 0.81590, 29.87, 21.83
29, 0.37886, 0.82586, 30.93, 20.35
30, 0.49693, 0.82645, 29.32, 20.52
31, 0.54341, 0.84955, 28.62, 20.35
0, 0.00517, 0.30602, 38.71, 30.78
1, 0.00180, 0.07928, 38.83, 37.65
2, 0.00982, 0.56188, 38.62, 25.83
3, 0.00017, 0.01118, 38.81, 38.52
4, 0.02774, 0.64516, 38.35, 25.39
5, 0.03014, 0.80055, 38.32, 24.43
6, 0.01295, 0.51816, 38.47, 26.00
7, 0.01656, 0.55926, 38.40, 25.39
8, 0.01978, 0.68514, 38.37, 24.70
9, 0.02747, 0.76556, 38.25, 26.26
10, 0.03466, 0.59251, 37.93, 24.87
11, 0.01510, 0.50293, 38.40, 25.91
12, 0.01013, 0.33178, 38.52, 29.13
13, 0.03019, 0.62130, 38.05, 25.04
14, 0.00483, 0.29519, 38.67, 30.43
15, 0.01763, 0.72174, 38.41, 25.91
16, 0.00876, 0.56084, 38.59, 25.57
17, 0.01474, 0.52326, 38.41, 25.57
18, 0.01378, 0.55529, 38.44, 25.57
19, 0.02226, 0.53151, 38.21, 25.39
20, 0.02501, 0.58727, 38.20, 25.22
21, 0.03931, 0.52326, 37.76, 24.87
22, 0.03356, 0.58588, 37.98, 25.13
23, 0.06125, 0.60437, 37.24, 25.22
24, 0.04291, 0.53931, 37.62, 24.70
25, 0.05565, 0.54893, 37.32, 24.96
26, 0.09028, 0.63341, 36.43, 23.57
27, 0.09259, 0.56872, 36.35, 24.70
28, 0.12394, 0.68151, 35.53, 24.00
29, 0.12233, 0.57855, 35.60, 24.78
30, 0.18128, 0.78331, 34.33, 24.26
31, 0.22221, 0.75377, 33.20, 24.96
0, 0.00048, 0.01953, 38.90, 38.26
1, 0.01821, 0.66317, 38.39, 23.83
2, 0.01319, 0.73579, 38.64, 30.43
3, 0.04648, 0.81595, 38.14, 26.09
4, 0.00108, 0.05782, 38.84, 37.91
5, 0.01123, 0.52887, 38.53, 24.96
6, 0.01040, 0.62383, 38.55, 23.30
7, 0.00065, 0.03062, 38.81, 37.91
8, 0.00039, 0.02508, 38.78, 38.09
9, 0.01298, 0.80025, 38.61, 26.61
10, 0.00044, 0.02786, 38.79, 38.00
11, 0.01283, 0.79298, 38.65, 30.78
12, 0.00009, 0.00560, 38.80, 38.70
13, 0.00078, 0.02508, 38.77, 38.09
14, 0.00039, 0.02508, 38.77, 38.09
15, 0.00611, 0.36592, 38.62, 28.70
16, 0.02126, 0.78244, 38.35, 24.52
17, 0.01194, 0.38246, 38.46, 28.09
18, 0.01831, 0.60409, 38.41, 25.57
19, 0.02892, 0.79892, 38.54, 25.91
20, 0.02216, 0.53237, 38.22, 25.48
21, 0.03160, 0.71738, 38.06, 26.09
22, 0.05032, 0.75267, 37.72, 25.22
23, 0.05071, 0.71366, 37.66, 25.39
24, 0.05535, 0.80008, 37.50, 22.09
25, 0.05706, 0.72731, 37.47, 23.74
26, 0.05539, 0.54680, 37.31, 25.13
27, 0.07961, 0.62844, 36.74, 23.39
28, 0.06633, 0.60556, 37.13, 23.48
29, 0.09568, 0.78592, 36.42, 23.65
30, 0.05905, 0.56214, 37.25, 25.13
31, 0.09408, 0.58573, 36.31, 24.43
0, 0.01512, 0.80442, 38.76, 33.22
1, 0.01204, 0.44263, 38.55, 28.35
2, 0.02701, 0.77759, 38.22, 24.26
3, 0.04543, 0.79574, 37.94, 25.57
4, 0.04840, 0.66593, 37.71, 23.48
5, 0.05992, 0.77265, 37.77, 25.48
6, 0.05334, 0.77760, 37.95, 22.26
7, 0.06300, 0.81409, 37.70, 24.17
8, 0.09140, 0.75589, 37.17, 21.13
9, 0.14076, 0.79933, 36.37, 22.00
10, 0.15278, 0.82485, 35.97, 22.78
11, 0.20280, 0.82459, 34.98, 22.17
12, 0.25431, 0.79266, 34.20, 18.87
13, 0.26010, 0.82046, 34.01, 22.87
14, 0.30738, 0.81916, 32.91, 20.61
15, 0.35327, 0.82555, 32.77, 21.48
16, 0.40152, 0.79878, 31.33, 21.57
17, 0.43947, 0.81964, 30.65, 21.39
18, 0.39633, 0.83651, 31.88, 20.26
19, 0.48302, 0.83476, 29.69, 18.52
20, 0.47621, 0.87855, 29.82, 18.78
21, 0.47152, 0.84465, 30.05, 20.35
22, 0.43016, 0.85115, 31.28, 19.83
23, 0.48399, 0.86837, 29.81, 17.30
24, 0.45224, 0.85142, 29.97, 20.61
25, 0.42353, 0.85726, 31.04, 18.96
26, 0.48828, 0.84204, 29.62, 18.35
27, 0.40966, 0.84410, 31.58, 18.70
28, 0.40320, 0.85111, 30.84, 18.00
29, 0.36334, 0.84382, 32.02, 20.61
30, 0.44062, 0.86111, 30.16, 20.09
31, 0.38248, 0.84023, 31.65, 21.48
0, 0.00686, 0.41646, 38.66, 26.35
1, 0.00952, 0.31299, 38.67, 29.48
2, 0.02437, 0.63297, 38.28, 26.00
3, 0.01387, 0.49292, 38.46, 26.70
4, 0.03084, 0.57981, 38.04, 25.91
5, 0.02206, 0.53983, 38.21, 25.65
6, 0.03253, 0.74163, 37.96, 24.26
7, 0.03478, 0.71301, 37.93, 22.70
8, 0.04669, 0.79570, 38.15, 24.96
9, 0.04842, 0.80562, 37.89, 24.70
10, 0.07240, 0.79959, 37.85, 23.13
11, 0.04684, 0.79098, 38.12, 24.61
12, 0.03695, 0.79427, 38.14, 24.17
13, 0.02363, 0.72205, 38.26, 25.83
14, 0.02163, 0.78975, 38.76, 26.17
15, 0.03600, 0.75591, 38.10, 25.91
16, 0.02029, 0.73181, 38.55, 26.00
17, 0.02098, 0.76845, 38.48, 26.00
18, 0.02187, 0.71675, 38.38, 25.04
19, 0.01384, 0.58341, 38.45, 25.91
20, 0.00822, 0.50630, 38.60, 26.78
21, 0.01629, 0.53494, 38.39, 25.48
22, 0.02062, 0.49383, 38.24, 24.96
23, 0.02686, 0.60133, 38.13, 23.13
24, 0.02431, 0.58906, 38.23, 25.65
25, 0.04443, 0.78317, 38.18, 24.87
26, 0.04502, 0.79125, 38.20, 25.48
27, 0.03958, 0.56667, 37.74, 23.48
28, 0.06713, 0.76826, 37.20, 23.91
29, 0.06439, 0.81081, 37.68, 24.00
30, 0.03809, 0.69088, 37.83, 24.87
31, 0.03398, 0.50344, 37.90, 25.04
0, 0.01789, 0.70243, 38.57, 26.87
1, 0.01154, 0.73574, 38.64, 26.70
2, 0.01411, 0.44728, 38.44, 26.52
3, 0.00506, 0.27134, 38.68, 30.78
4, 0.02437, 0.74034, 38.34, 24.61
5, 0.03292, 0.79362, 38.54, 23.91
6, 0.00714, 0.45704, 38.59, 25.91
7, 0.00017, 0.00560, 38.80, 38.70
8, 0.01154, 0.73836, 38.54, 21.83
9, 0.00950, 0.60770, 38.56, 23.91
10, 0.02574, 0.78521, 39.28, 37.65
11, 0.00065, 0.04162, 38.78, 37.74
12, 0.00061, 0.03889, 38.79, 37.74
13, 0.01258, 0.80481, 38.81, 38.78
14, 0.00000, 0.00000, 38.79, 38.78
15, 0.00000, 0.00000, 38.80, 38.78
16, 0.01058, 0.67711, 38.63, 27.39
17, 0.00915, 0.58563, 38.60, 26.35
18, 0.00000, 0.00000, 38.81, 38.78
19, 0.00000, 0.00000, 38.79, 38.78
20, 0.00000, 0.00000, 38.79, 38.78
21, 0.00836, 0.52950, 38.59, 25.39
22, 0.00563, 0.36027, 38.63, 28.26
23, 0.00494, 0.31593, 38.64, 29.13
24, 0.00913, 0.51800, 38.56, 25.39
25, 0.00633, 0.40527, 38.62, 27.48
26, 0.00544, 0.34830, 38.62, 28.70
27, 0.00896, 0.57331, 38.60, 26.26
28, 0.03207, 0.72835, 38.04, 24.52
29, 0.01326, 0.55740, 38.45, 26.09
30, 0.02046, 0.77513, 38.39, 24.52
31, 0.01285, 0.54353, 38.46, 25.13
0, 0.01089, 0.42922, 38.59, 27.13
1, 0.02263, 0.61920, 38.32, 24.70
2, 0.01154, 0.54223, 38.56, 25.57
3, 0.03151, 0.73428, 38.21, 24.26
4, 0.02391, 0.64079, 38.29, 24.43
5, 0.02993, 0.60734, 38.06, 23.48
6, 0.01938, 0.50914, 38.26, 23.74
7, 0.02294, 0.67374, 38.17, 21.30
8, 0.00704, 0.45070, 38.61, 26.78
9, 0.00908, 0.58090, 38.61, 25.57
10, 0.01659, 0.58533, 38.39, 25.30
11, 0.00771, 0.49365, 38.61, 26.43
12, 0.00563, 0.36064, 38.62, 28.09
13, 0.02740, 0.79827, 38.63, 22.78
14, 0.00524, 0.33522, 38.67, 29.65
15, 0.00013, 0.00838, 38.79, 38.78
16, 0.01270, 0.81305, 38.86, 38.78
17, 0.00691, 0.44226, 38.64, 29.30
18, 0.00000, 0.00000, 38.80, 38.78
19, 0.00000, 0.00000, 38.79, 38.78
20, 0.01589, 0.55159, 38.39, 25.83
21, 0.00000, 0.00000, 38.81, 38.78
22, 0.00132, 0.08447, 38.79, 37.83
23, 0.00000, 0.00000, 38.79, 38.78
24, 0.01052, 0.67360, 38.58, 24.17
25, 0.01870, 0.61691, 38.37, 25.39
26, 0.00808, 0.51724, 38.60, 25.65
27, 0.00000, 0.00000, 38.80, 38.78
28, 0.00000, 0.00000, 38.80, 38.78
29, 0.00000, 0.00000, 38.80, 38.78
0, 0.01097, 0.62444, 38.72, 28.87
1, 0.01593, 0.52734, 38.44, 24.17
2, 0.00702, 0.44933, 38.68, 26.52
3, 0.03238, 0.57900, 37.99, 24.35
4, 0.02051, 0.51850, 38.23, 25.22
5, 0.04503, 0.78027, 38.21, 24.96
6, 0.05596, 0.59418, 37.37, 24.78
7, 0.05014, 0.56679, 37.51, 24.78
8, 0.05231, 0.54706, 37.40, 25.22
9, 0.07339, 0.76049, 36.91, 22.09
10, 0.05439, 0.71146, 37.40, 24.96
11, 0.06532, 0.78717, 37.28, 24.52
12, 0.06706, 0.80843, 37.23, 24.00
13, 0.06361, 0.66919, 37.26, 24.87
14, 0.13283, 0.77660, 36.19, 23.57
15, 0.12554, 0.80854, 36.16, 23.83
16, 0.13385, 0.75357, 35.61, 23.39
17, 0.16574, 0.79434, 35.76, 24.78
18, 0.11361, 0.74914, 36.05, 24.43
19, 0.10733, 0.77806, 36.42, 24.26
20, 0.12169, 0.73523, 35.84, 24.00
21, 0.21022, 0.73788, 33.84, 23.13
22, 0.23085, 0.73080, 33.34, 24.26
23, 0.24452, 0.75460, 32.76, 23.83
24, 0.31732, 0.79302, 31.09, 24.00
25, 0.25284, 0.71586, 32.64, 24.00
26, 0.31701, 0.78569, 31.54, 23.91
27, 0.32593, 0.80265, 31.20, 23.04
28, 0.32805, 0.72852, 31.17, 23.57
29, 0.37277, 0.73806, 29.97, 23.57
30, 0.36926, 0.80524, 30.32, 23.74
31, 0.32011, 0.78013, 31.70, 23.65
0, 0.01494, 0.67604, 38.55, 23.48
1, 0.00691, 0.25146, 38.64, 31.39
2, 0.00826, 0.48419, 38.59, 25.57
3, 0.00302, 0.19355, 38.76, 32.87
4, 0.02856, 0.77112, 38.24, 23.83
5, 0.02242, 0.59556, 38.35, 24.78
6, 0.02684, 0.53683, 38.13, 25.48
7, 0.02813, 0.59757, 38.06, 25.22
8, 0.03393, 0.58029, 37.93, 24.00
9, 0.03760, 0.56711, 37.89, 25.30
10, 0.04109, 0.58036, 37.81, 25.48
11, 0.05075, 0.60122, 37.52, 24.26
12, 0.05997, 0.65018, 37.26, 24.17
13, 0.05936, 0.57022, 37.25, 23.39
14, 0.04296, 0.56223, 37.69, 23.91
15, 0.04720, 0.62905, 37.61, 24.35
16, 0.03902, 0.54732, 37.82, 25.04
17, 0.06136, 0.66331, 37.25, 23.30
18, 0.08934, 0.71493, 36.67, 21.74
19, 0.08508, 0.79865, 36.67, 24.43
20, 0.10582, 0.62762, 36.25, 23.74
21, 0.12352, 0.65427, 35.61, 23.48
22, 0.17565, 0.78537, 34.69, 24.70
23, 0.18295, 0.78892, 34.50, 23.91
24, 0.19391, 0.58907, 33.76, 22.87
25, 0.26036, 0.63908, 32.36, 23.65
26, 0.30678, 0.62237, 30.98, 22.96
27, 0.33289, 0.80692, 30.70, 23.83
28, 0.30288, 0.81693, 31.99, 23.39
29, 0.34302, 0.78285, 30.39, 22.09
30, 0.32765, 0.75577, 31.13, 23.04
31, 0.30037, 0.79923, 31.22, 22.35
